track_id,action,pass_success,target_gap_s,relative_speed_kph,drs_available,straight_remaining_m,braking_zone_m,track_overtake_difficulty,ego_tyre_grip_estimate,target_tyre_grip_estimate,target_tyre_uncertainty,laps_remaining,rear_gap_s,rear_drs_risk,cars_within_3s,post_pass_traffic_gap_s,recent_sector_delta_s,action_energy_level
hist_monza_like,HARVEST,1,0.148,4.63,True,630.9,170.3,0.3,0.585,0.69,0.062,14,0.891,0.406,4,0.274,-0.299,-1
hist_monza_like,HOLD,0,0.953,4.74,False,856.2,158.3,0.3,0.614,0.69,0.161,14,3.355,0.0,2,0.486,-0.137,0
hist_monza_like,PARTIAL_DEPLOY,1,1.634,20.54,True,794.2,139.7,0.3,0.882,0.778,0.395,37,0.754,0.497,0,0.328,-0.033,1
hist_monza_like,HOLD,0,1.746,8.3,True,772.8,165.1,0.3,0.615,0.66,0.318,45,3.285,0.0,5,0.4,-0.164,0
hist_monza_like,FULL_DEPLOY,1,0.821,29.63,False,436.6,165.9,0.3,0.86,0.603,0.063,21,1.464,0.024,0,0.791,-0.106,2
hist_monza_like,FULL_DEPLOY,1,0.852,27.01,True,542.3,113.8,0.3,0.649,0.753,0.155,38,1.557,0.0,4,1.318,0.133,2
hist_monza_like,HARVEST,0,1.536,25.14,True,771.4,143.7,0.3,0.704,0.768,0.237,17,3.402,0.0,6,2.839,0.255,-1
hist_monza_like,PARTIAL_DEPLOY,0,1.56,6.91,True,583.0,104.2,0.3,0.551,0.825,0.338,33,2.691,0.0,4,2.755,0.116,1
hist_monza_like,HOLD,1,0.39,21.69,True,683.0,90.1,0.3,0.68,0.509,0.422,54,2.843,0.0,1,0.362,-0.242,0
hist_monza_like,FULL_DEPLOY,0,1.65,29.23,True,397.9,101.3,0.3,0.814,0.926,0.116,34,3.066,0.0,3,2.9,0.303,2
hist_monza_like,PARTIAL_DEPLOY,1,0.858,18.51,True,782.8,112.3,0.3,0.576,0.509,0.272,38,0.849,0.434,0,2.182,-0.129,1
hist_monza_like,PARTIAL_DEPLOY,1,0.235,3.33,False,670.3,109.3,0.3,0.603,0.921,0.278,31,0.926,0.383,3,2.461,0.033,1
hist_monza_like,FULL_DEPLOY,0,0.881,25.23,True,526.7,95.5,0.3,0.841,0.86,0.094,13,0.747,0.502,3,0.593,-0.237,2
hist_monza_like,HARVEST,0,0.942,25.15,False,802.8,94.6,0.3,0.95,0.876,0.438,49,2.986,0.0,1,1.338,-0.397,-1
hist_monza_like,HOLD,1,0.82,29.49,True,685.1,128.1,0.3,0.933,0.948,0.272,46,1.755,0.0,1,1.031,-0.215,0
hist_monza_like,PARTIAL_DEPLOY,0,0.209,15.45,True,611.4,166.7,0.3,0.613,0.932,0.082,12,0.333,0.778,0,2.091,0.009,1
hist_monza_like,HOLD,0,1.2,-3.61,True,543.6,118.5,0.3,0.654,0.801,0.176,17,1.446,0.036,5,2.007,-0.216,0
hist_monza_like,HARVEST,1,0.971,29.95,False,741.6,96.6,0.3,0.635,0.619,0.423,5,3.09,0.0,2,0.998,-0.232,-1
hist_monza_like,HARVEST,0,1.369,14.41,False,894.8,113.8,0.3,0.906,0.834,0.112,19,2.156,0.0,5,1.16,0.249,-1
hist_monza_like,PARTIAL_DEPLOY,1,1.82,24.61,True,378.7,128.1,0.3,0.661,0.502,0.358,41,3.431,0.0,1,2.275,-0.2,1
hist_monza_like,HARVEST,1,1.896,19.19,True,790.3,139.7,0.3,0.722,0.519,0.196,51,3.405,0.0,0,2.717,0.043,-1
hist_monza_like,FULL_DEPLOY,0,1.95,21.23,False,760.1,111.3,0.3,0.615,0.86,0.121,27,0.184,0.877,5,2.789,0.042,2
hist_monza_like,HOLD,0,0.607,22.56,True,856.0,110.0,0.3,0.877,0.707,0.172,51,3.062,0.0,1,0.266,-0.285,0
hist_monza_like,PARTIAL_DEPLOY,0,0.767,12.83,False,775.4,165.9,0.3,0.682,0.512,0.401,17,0.707,0.529,2,0.307,-0.151,1
hist_monza_like,FULL_DEPLOY,0,1.252,12.9,True,548.0,153.8,0.3,0.551,0.917,0.265,47,3.297,0.0,5,2.078,-0.071,2
hist_monza_like,PARTIAL_DEPLOY,0,1.284,18.22,True,693.0,171.0,0.3,0.753,0.8,0.18,45,1.105,0.263,1,0.737,-0.099,1
hist_monza_like,HOLD,1,1.269,5.53,True,773.4,128.7,0.3,0.782,0.795,0.236,29,2.397,0.0,4,1.525,0.0,0
hist_monza_like,HARVEST,0,0.639,18.23,False,494.4,98.4,0.3,0.931,0.606,0.174,52,0.777,0.482,0,0.329,0.274,-1
hist_monza_like,FULL_DEPLOY,1,0.887,17.04,True,592.1,112.0,0.3,0.812,0.502,0.35,50,3.111,0.0,6,1.39,-0.22,2
hist_monza_like,HARVEST,0,1.159,27.11,True,987.4,102.0,0.3,0.736,0.739,0.274,21,3.33,0.0,3,1.915,-0.045,-1
hist_monza_like,FULL_DEPLOY,0,1.805,21.03,True,643.5,147.4,0.3,0.856,0.735,0.301,18,1.596,0.0,5,1.0,0.15,2
hist_monza_like,HOLD,1,0.387,8.41,True,780.4,109.3,0.3,0.716,0.649,0.236,4,0.803,0.465,3,1.291,0.06,0
hist_monza_like,FULL_DEPLOY,1,1.006,28.0,True,406.4,165.2,0.3,0.765,0.831,0.37,15,1.76,0.0,2,1.42,0.269,2
hist_monza_like,FULL_DEPLOY,0,1.476,24.42,False,674.6,178.3,0.3,0.764,0.908,0.287,43,0.192,0.872,5,1.4,0.085,2
hist_monza_like,PARTIAL_DEPLOY,1,0.502,6.44,False,468.3,164.9,0.3,0.651,0.537,0.058,35,0.277,0.815,2,0.828,0.23,1
hist_monza_like,HARVEST,0,1.904,1.98,True,807.4,103.7,0.3,0.6,0.801,0.276,14,1.681,0.0,2,2.347,0.135,-1
hist_monza_like,HARVEST,0,1.578,0.73,True,346.4,141.8,0.3,0.913,0.669,0.427,13,0.358,0.761,5,2.526,-0.218,-1
hist_monza_like,HARVEST,0,1.613,14.81,True,881.6,137.9,0.3,0.815,0.531,0.309,1,2.989,0.0,6,1.573,-0.173,-1
hist_monza_like,FULL_DEPLOY,0,1.444,10.24,False,766.2,162.7,0.3,0.765,0.718,0.224,47,2.114,0.0,2,2.585,-0.034,2
hist_monza_like,HOLD,0,1.526,14.94,False,594.2,120.3,0.3,0.748,0.646,0.245,23,2.813,0.0,2,0.983,-0.339,0
hist_monza_like,HOLD,1,0.263,20.2,True,661.8,148.1,0.3,0.746,0.857,0.087,15,1.475,0.017,1,1.057,-0.306,0
hist_monza_like,FULL_DEPLOY,0,1.994,14.26,True,566.7,130.8,0.3,0.673,0.604,0.339,21,0.506,0.663,4,2.862,-0.048,2
hist_monza_like,PARTIAL_DEPLOY,1,1.477,29.18,True,635.8,107.5,0.3,0.641,0.581,0.056,35,0.53,0.647,0,2.928,0.09,1
hist_monza_like,FULL_DEPLOY,1,0.295,-4.57,True,573.7,133.1,0.3,0.686,0.934,0.151,31,0.488,0.675,0,1.322,0.252,2
hist_monza_like,HOLD,0,1.641,28.22,True,652.2,127.5,0.3,0.788,0.778,0.36,25,1.632,0.0,3,1.033,0.256,0
hist_monza_like,HARVEST,0,1.258,20.9,False,566.2,108.7,0.3,0.634,0.797,0.113,12,1.977,0.0,1,0.207,-0.256,-1
hist_monza_like,HOLD,1,0.647,4.9,False,748.6,113.8,0.3,0.866,0.765,0.372,13,1.545,0.0,4,0.829,0.063,0
hist_monza_like,HARVEST,1,0.415,5.77,False,744.9,141.2,0.3,0.665,0.556,0.325,45,1.469,0.021,2,1.601,-0.082,-1
hist_monza_like,FULL_DEPLOY,1,1.496,16.13,True,679.7,167.4,0.3,0.785,0.509,0.356,53,1.016,0.323,0,2.337,0.297,2
hist_monza_like,PARTIAL_DEPLOY,0,0.445,15.49,False,811.8,134.3,0.3,0.586,0.657,0.183,43,0.456,0.696,1,1.123,-0.057,1
hist_monza_like,HARVEST,0,0.964,6.01,True,800.0,136.3,0.3,0.945,0.796,0.267,27,0.284,0.811,4,1.213,-0.038,-1
hist_monza_like,HOLD,1,0.607,-0.41,True,440.0,169.3,0.3,0.744,0.513,0.302,52,0.914,0.391,1,1.07,0.204,0
hist_monza_like,HARVEST,0,0.977,-0.89,False,411.8,135.8,0.3,0.659,0.876,0.442,16,1.653,0.0,1,1.274,0.003,-1
hist_monza_like,HARVEST,0,0.625,22.65,True,565.7,174.1,0.3,0.753,0.869,0.163,20,2.947,0.0,4,2.997,-0.113,-1
hist_monza_like,PARTIAL_DEPLOY,0,0.732,21.7,True,926.2,178.3,0.3,0.646,0.672,0.392,27,0.248,0.835,5,1.524,-0.165,1
hist_monza_like,HOLD,1,1.041,-3.7,True,573.9,143.1,0.3,0.898,0.893,0.226,34,3.196,0.0,0,2.223,-0.246,0
hist_monza_like,FULL_DEPLOY,0,1.585,4.28,False,600.9,119.6,0.3,0.82,0.74,0.432,41,2.544,0.0,6,1.566,0.049,2
hist_monza_like,PARTIAL_DEPLOY,0,1.995,21.14,True,597.0,98.9,0.3,0.803,0.893,0.227,45,1.118,0.255,0,0.329,0.048,1
hist_monza_like,HOLD,0,0.564,9.42,False,689.6,144.9,0.3,0.703,0.807,0.249,38,0.587,0.609,3,1.986,0.112,0
hist_monza_like,FULL_DEPLOY,0,1.812,18.72,True,705.9,129.8,0.3,0.688,0.764,0.306,28,2.447,0.0,3,2.567,0.062,2
hist_monza_like,HOLD,0,0.825,7.56,True,640.1,164.7,0.3,0.708,0.504,0.396,50,2.632,0.0,0,2.75,-0.04,0
hist_monza_like,HOLD,0,1.253,7.33,False,366.4,145.9,0.3,0.821,0.824,0.314,54,0.565,0.623,0,2.73,-0.104,0
hist_monza_like,PARTIAL_DEPLOY,1,1.491,-1.85,True,648.5,101.9,0.3,0.766,0.937,0.262,18,2.924,0.0,2,2.759,-0.124,1
hist_monza_like,PARTIAL_DEPLOY,0,1.628,11.39,True,515.2,157.9,0.3,0.64,0.804,0.32,26,3.389,0.0,6,1.76,0.169,1
hist_monza_like,HARVEST,0,0.964,18.55,False,409.6,174.6,0.3,0.593,0.605,0.06,36,1.215,0.19,4,0.82,-0.188,-1
hist_monza_like,PARTIAL_DEPLOY,0,1.334,-0.92,True,758.1,93.3,0.3,0.948,0.552,0.144,35,0.561,0.626,3,1.239,0.293,1
hist_monza_like,HOLD,0,1.782,17.92,False,384.8,115.2,0.3,0.826,0.598,0.228,16,3.009,0.0,0,2.947,-0.314,0
hist_monza_like,HARVEST,0,0.856,1.64,True,889.2,166.3,0.3,0.732,0.798,0.307,39,3.402,0.0,0,2.403,0.004,-1
hist_monza_like,HARVEST,1,1.677,14.4,False,692.2,159.7,0.3,0.865,0.768,0.161,10,3.458,0.0,4,0.902,-0.134,-1
hist_monza_like,HARVEST,0,0.781,22.6,False,846.3,91.4,0.3,0.656,0.557,0.218,8,2.635,0.0,3,1.455,-0.174,-1
hist_monza_like,HOLD,1,1.896,-3.48,False,772.1,131.2,0.3,0.936,0.527,0.242,26,1.549,0.0,0,1.573,-0.18,0
hist_monza_like,HOLD,0,0.225,4.63,False,618.5,139.4,0.3,0.68,0.948,0.262,30,1.819,0.0,3,0.478,-0.117,0
hist_monza_like,HOLD,1,0.917,26.08,True,720.7,155.7,0.3,0.675,0.641,0.152,10,2.435,0.0,3,0.388,-0.178,0
hist_monza_like,PARTIAL_DEPLOY,0,1.642,14.47,False,592.2,140.5,0.3,0.682,0.555,0.191,43,3.3,0.0,3,2.631,-0.095,1
hist_monza_like,PARTIAL_DEPLOY,1,0.297,12.76,True,361.0,121.5,0.3,0.773,0.552,0.161,15,2.845,0.0,6,1.771,0.043,1
hist_monza_like,HARVEST,0,1.257,18.02,False,442.1,92.6,0.3,0.659,0.843,0.419,23,0.121,0.919,6,0.601,-0.042,-1
hist_monza_like,HARVEST,0,0.274,13.57,True,565.9,118.0,0.3,0.68,0.924,0.288,4,0.629,0.581,6,1.93,0.034,-1
hist_monza_like,FULL_DEPLOY,1,1.253,9.5,True,543.8,136.1,0.3,0.688,0.55,0.321,38,1.755,0.0,5,1.064,0.106,2
hist_monza_like,HOLD,0,0.673,2.39,True,645.4,90.7,0.3,0.849,0.579,0.202,46,0.882,0.412,4,2.533,0.178,0
hist_monza_like,HARVEST,1,0.929,11.09,True,595.6,118.2,0.3,0.722,0.682,0.306,19,0.492,0.672,0,2.905,0.229,-1
hist_monza_like,PARTIAL_DEPLOY,1,0.267,24.56,True,495.0,125.6,0.3,0.674,0.653,0.183,11,0.36,0.76,5,0.519,-0.129,1
hist_monza_like,HOLD,0,0.549,0.13,True,629.6,144.2,0.3,0.854,0.795,0.121,50,2.235,0.0,3,2.312,0.014,0
